obj_model;tau_diversity;p_value_diversity;top_1_diversity;top_5_mean_diversity;val_1_diversity;val_mean_5_diversity
distill;0.45936439894233316;3.3162455271834865e-05;0.0;0.05832938201359254;0.4520547945205479;0.4173515981735159
distill;0.4696871944241834;2.197094066796146e-05;0.025;0.036885934517513465;0.4337899543378995;0.4246575342465754
distill;-0.14609070049480974;0.18757515831057736;0.175;0.3650117931696879;0.3926940639269406;0.30867579908675796
distill;-0.538167054253205;1.2257717987665074e-06;0.0;0.031466486729644624;0.4520547945205479;0.43105022831050227
distill;-0.6658203085793368;1.7875916185753927e-09;0.025;0.05239030528504213;0.4337899543378995;0.42648401826484017
distill;0.09155537764741892;0.4078026158414292;0.025;0.05366445392761182;0.44339622641509435;0.4084905660377359
distill;0.5170944568537322;2.937628017346621e-06;0.15;0.06258258258258258;0.37264150943396224;0.4084905660377358
distill;0.5119364074088072;3.6832650442154227e-06;0.025;0.0158187134502924;0.44339622641509435;0.4273584905660378
distill;-0.11627994321540128;0.29395113263612493;0.55;0.3005982905982906;0.2358490566037736;0.3358490566037736
distill;-0.3855122864762435;0.0005099853981075466;0.0;0.04883040935672515;0.4669811320754717;0.40566037735849053
distill;-0.7492066818753577;1.2553259879943215e-11;0.0;0.07420152946468736;0.4669811320754717;0.4132075471698114
distill;0.1078722911671417;0.33263853674599453;0.125;0.07940845704003599;0.3619047619047619;0.38285714285714284
distill;0.3262162058187056;0.003391980621449116;0.275;0.10242070005227899;0.3333333333333333;0.36857142857142855
distill;0.3470108643569498;0.0018298512750110107;0.05;0.08061737851211535;0.38571428571428573;0.36857142857142855
distill;0.05722200351585591;0.6075165587592667;0.75;0.42772489088278565;0.2;0.29238095238095235
distill;-0.2879655433148468;0.00986825790627715;0.125;0.10858013884329673;0.3619047619047619;0.36952380952380953
distill;-0.5887487698640385;1.2391974124441657e-07;0.125;0.16945173918858128;0.3619047619047619;0.339047619047619
distill;0.14729124732468504;0.18372879212968318;0.175;0.09835181335181335;0.3574468085106383;0.3736170212765958
distill;0.40052883044431903;0.0003004288910624629;0.1;0.10966760282549755;0.37872340425531914;0.36936170212765956
distill;0.40569694438553605;0.0002506702699953506;0.0;0.04726264726264726;0.4127659574468085;0.3872340425531915
distill;-0.009050002541388826;0.9349386265711656;0.775;0.4522620393673026;0.1702127659574468;0.2706382978723404
distill;-0.2690871298703601;0.01527358404393274;0.1;0.08804598120387594;0.37872340425531914;0.39148936170212767
distill;-0.6563504705345614;3.145465500971169e-09;0.175;0.08894341710131184;0.3574468085106383;0.3668085106382979
distill;0.03257761087272826;0.770360074731488;0.025;0.08617348117348117;0.34299516908212563;0.336231884057971
